DATE;NOM;GENRE;HOMME;FEMME;AGE;AGE2;DOMICILE;ADRESSE;PERP;LIEU;MULTIPLE;BLESSÉS;ESPACE PUBLIC;LOCALISATION POST-MORTEM;CALCINÉS;CAUSE DU DÉCÈS;FUSILLADE;ATTACHÉ;TRACES DE TORTURE;MUTILATION;ENCOBIJADO/ENTEIPADO;MESSAGE;QUALIFICATION;ORIGINE DU DÉFUNT;COMMENTAIRE
16-May;0;0;0;0;0;;;;0;CAMINO A LA UTN, POR CARRETERA INTERNACIONAL;1;0;1;1;1;0;0;0;0;0;0;0;0;;BRULÉS, MESSAGE D'ALERTE ANONYME
17-May;1;1;1;0;0;;;;0;CAÑADA EN C. MEZCALEROS FINAL ENTRE C. MACOYAHUI Y CHEPINOS;0;0;1;1;0;0;0;0;0;0;0;0;0;;
19-May;1;1;0;1;1;33;1;Col. Colosio;1;C. GUARIJÍOS, COL. COLOSIO;0;0;2;0;0;3;0;0;0;0;0;0;0;;BATTUE À MORT PAR SON COMPAGNON
20-May;1;1;1;0;1;37;1;Col. 5 de Mayo;0;CONJ. HABITACIONAL 5 DE MAYO;0;0;1;0;0;1;1;0;0;0;0;0;0;;
24-May;1;1;0;1;1;22;;;0;HOTEL 32, BD. COLOSIO, COL. GRANJA;0;0;0;1;0;0;0;0;0;0;0;0;0;;TROUVÉE SEMI-NUE SUR LE SOL D'UNE CHAMBRE
25-May;1;1;1;0;1;45;;;0;CAMINO A MASCAREÑAS;0;1;1;2;0;0;0;0;0;0;0;0;0;;
26-May;1;1;1;0;1;32;;;0;"TERRENO BALDÍO POR UNIDAD DEPORTIVA ""PEDRO GONZALEZ"", COL. VIRREYES";0;0;1;1;0;1;0;0;0;0;0;0;1;;
27-May;1;1;1;0;1;23;;;0;RANCHO LA DESTILADERA;1;0;1;3;0;0;0;0;0;0;0;0;0;;"ALLAIENT ÊTRE ENTERRÉS DANS UNE FOSSE COMMUNE CLANDESTINE, BURREROS SELON ""LAS INVESTIGACIONES"""
27-May;1;1;1;0;1;23;;;0;RANCHO LA DESTILADERA;1;0;1;3;0;0;0;0;0;0;0;0;0;;"ALLAIENT ÊTRE ENTERRÉS DANS UNE FOSSE COMMUNE CLANDESTINE, BURREROS SELON ""LAS INVESTIGACIONES"""
27-May;1;1;1;0;1;23;;;0;RANCHO LA DESTILADERA;1;0;1;3;0;0;0;0;0;0;0;0;0;;"ALLAIENT ÊTRE ENTERRÉS DANS UNE FOSSE COMMUNE CLANDESTINE, BURREROS SELON ""LAS INVESTIGACIONES"""
